step,turns,empty_reasoning,other_format_errors,empty_ratio,format_invalid_ratio,reasoning_body_tokens,body_tokens_per_original_turn,whole_response_tokens_mean,supervised_token_ratio,update_skipped,train_episode_success_rate,step_seconds,rollout_seconds,teacher_forward_seconds,update_seconds,hint_wait_seconds
20,4328,3890,4,0.8987985212569316,0.8997227356746765,17364,4.012014787430684,24.78350257873535,0.16188247578382106,0,0.46875,233.84638425335288,79.17475188151002,34.86530170403421,75.55877362564206,0.12234288454055786
21,5231,5057,15,0.9667367616134582,0.9696042821640222,6260,1.1967119097686867,21.529434204101562,0.05557429733136841,0,0.2734375,225.86468656174839,67.1866811979562,39.48142083361745,88.46862965077162,0.14118067733943462
22,4472,4414,58,0.9870304114490162,1.0,0,0.0,20.220483779907227,0.0,1,0.4453125,138.7679364401847,71.4061253592372,37.96396693587303,0.00016725808382034302,0.12815220467746258
23,4837,4816,18,0.9956584659913169,0.9993797808559024,132,0.02728964234029357,20.714876174926758,0.0013165769000598444,0,0.40625,229.47333426214755,70.41294166445732,39.94718583114445,87.74935104884207,0.13371394574642181
24,4890,4850,40,0.9918200408997955,1.0,0,0.0,20.336397171020508,0.0,1,0.3671875,133.22853595390916,66.65531267225742,37.58988248184323,0.0001433752477169037,0.1338494997471571
25,4483,4443,38,0.9910774035244256,0.9995538701762213,72,0.016060673656033905,20.237075805664062,0.000792742006518101,0,0.40625,378.87445331178606,61.98932492174208,33.724442744627595,69.43652016855776,0.12351975776255131
26,5495,5467,26,0.9949044585987261,0.9996360327570518,77,0.014012738853503185,20.14537811279297,0.0006954542580767529,0,0.2265625,249.335719704628,67.59153225272894,44.05443958193064,103.37149722315371,0.15400967746973038
27,4735,4671,60,0.9864836325237593,0.999155227032735,167,0.03526927138331573,20.607685089111328,0.0017111006373081415,0,0.3515625,224.32999728247523,75.87083653733134,37.9231144040823,80.86014527641237,0.1446908637881279
28,4705,4669,35,0.9923485653560042,0.999787460148778,42,0.008926673751328374,20.735143661499023,0.0004298698108572832,0,0.390625,228.24349349550903,76.43568629212677,38.42816108837724,83.82996985688806,0.13352548517286777
29,4655,4623,32,0.99312567132116,1.0,0,0.0,20.312284469604492,0.0,1,0.390625,135.3590244371444,70.72590412572026,36.44912247546017,0.00019440241158008575,0.12794839777052402
30,3962,3910,46,0.9868753154972236,0.9984856133266027,213,0.05376072690560323,20.033769607543945,0.002679447505472111,0,0.515625,194.22421792522073,60.54730100929737,30.441086350008845,62.69336451217532,0.10932619497179985
